Artist,Genre
static-x,industrial metal
stealers wheel,classic rock
steel panther,Glam Metal
steppenwolf,classic rock
stereopony,J-rock
stevie nicks,female vocalist
stevie ray vaughan,blues
stevie wonder,soul
stitched up heart,alternative rock
stolen byrds,hard rock
stone sour,hard rock
stone temple pilots,Grunge
story untold,pop punk
strange bones,punk
stray from the path,mathcore
strike,rock
stromae,electronic
stu hamm,bass
suasion,metalcore
sublime,ska
subsonica,italian
sugar kane,hardcore
sum 41,punk rock
sumo cyco,rock
supercombo,indie
supergrass,britpop
survivor,rock
sweet,glam rock
system of a down,metal
the s.l.p.,Hip-Hop
tx2,rock
take the day,pop punk
taking back sunday,emo
talco,ska
taproot,Nu Metal
tarja turunen,symphonic metal
tasters,metalcore
tenacious d,rock
the all-american rejects,rock
the amity affliction,post-hardcore
the animal in me,post-hardcore
the animals,classic rock
the armed,mathcore
the avalanche,shoegaze
the baggios,blues rock
the band camino,alternative
the beatles,classic rock
the best of me,noisecore
the black cheetahs,electronic
the black crowes,rock
the black keys,blues rock
the black moods,rock
the blue stones,blues rock
the blues brothers,blues
the bombpops,punk rock
the cadillac black,blues rock
the casualties,punk
the chats,punk rock
the clash,punk
the coasters,oldies
the cult,hard rock
the damned things,hard rock
the dandy warhols,indie
the darkness,rock
the dead daisies,hard rock
the dead kennedys,punk
the dead weather,Garage Rock
the devil wears prada,metalcore
the dirty youth,alternative rock
the distillers,punk
the donnas,rock
the dust coda,hard rock
the enemy,indie
the exploited,punk
the foundations,oldies
the fratellis,indie
the greenhornes,Garage Rock
the hu,folk metal
the heavy,funk
the individuals,indie
the international noise conspiracy,indie rock
the interrupters,ska punk
the isley brothers,soul
the jackson 5,soul
the jon spencer blues explosion,rock
the killers,indie
the kinks,classic rock
the knack,rock
the kooks,indie
the letter black,alternative rock
the longshot,pop punk
the magpie salute,Southern Rock
the marcels,oldies
the marvelettes,motown
the messenger birds,alternative rock
the misfits,horror punk
the mysterines,rock
the mönic,punk
the native howl,folk
the nearly deads,rock
the neighbourhood,indie
the offspring,punk rock
the one hundred,rapcore
the orwells,Garage Rock
the pale white,indie rock
the paranoyds,Garage Rock
the phantoms,rockabilly
the presidents of the usa,alternative rock
the pretty reckless,rock
the qemists,Drum and bass
the raconteurs,rock
the rasmus,rock
the raveonettes,indie
the red jumpsuit apparatus,alternative
the rolling stones,classic rock
the sidh,electronic
the score,freakbeat
the shelters,indie rock
the smashing pumpkins,alternative rock
the spinners,soul
the starting line,pop punk
the steve miller band,rock
the stone roses,britpop
the stray cats,rockabilly
the strokes,indie rock
the struts,rock
the subways,indie rock
the sword,doom metal
the temperance movement,rock
the temptations,soul
the toadies,rock
the turtles,60s
the undertones,punk
the used,emo
the veer union,alternative rock
the vines,rock
the vintage caravan,Stoner Rock
the von bondies,Garage Rock
the warning,hard rock
the weeknd,rnb
the whispers,soul
the white stripes,rock
the who,classic rock
the wild!,hard rock
the wombats,indie
the zasters,indie
theme song,accidently awesome
theory of a deadman,rock
these grey men,metal
thousand below,post-hardcore
thousand foot krutch,alternative rock
three days grace,alternative rock
thrice,post-hardcore
tihuana,rock
tim maia,soul
tinariwen,african
titãs,rock
todd barriage,alternative
tokio hotel,rock
tom morello,rock
tom petty,classic rock
