Artist,Songs,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5
ghosts of august,2,hard rock,modern rock,post-grunge,rock,alternative rock
giant rooks,1,,alternative,indie pop,german,indie
glenn miller,1,jazz,swing,Big Band,40s,oldies
gloria,3,post-hardcore,screamo,brazil,rock,metalcore
gnarls barkley,1,funk,soul,Hip-Hop,alternative,Hip-Hop
godsmack,5,hard rock,metal,Nu Metal,rock,alternative
gojira,4,death metal,Progressive metal,progressive death metal,,metal
goldfrapp,2,electronic,trip-hop,female vocalist,electronic,dance
good charlotte,3,punk rock,pop punk,rock,punk,alternative
goodbye june,2,blues rock,hard rock,rock,Southern Rock,Nashville
goody grace,1,Hip-Hop,indie,alternative,rap,singer-songwriter
gorky park,1,hard rock,rock,russian,russian,glam rock
gotthard,1,hard rock,rock,melodic rock,heavy metal,swiss
grand funk railroad,2,classic rock,hard rock,rock,70s,funk
grandson,13,indie rock,alternative,alternative rock,rock,
green day,74,punk rock,rock,punk,alternative,pop punk
greta van fleet,1,hard rock,rock,blues rock,Led Zeppelin,
grimes,1,electronic,dream pop,experimental,psychedelic,canada
grinspoon,1,,australian,rock,alternative,alternative rock
grumpster,1,punk rock,Garage Rock,pop punk,rock,punk
guano apes,4,rock,alternative rock,alternative,female vocalist,german
guess who,1,Hip-Hop,rap,Romanian Hip-Hop,Guess Who,Romanian
guns n' roses,6,hard rock,rock,classic rock,80s,metal
haim,2,indie pop,indie,,female vocalist,indie rock
him,2,Love Metal,Gothic Rock,rock,finnish,metal
halestorm,20,hard rock,female vocalist,rock,alternative rock,alternative metal
half kids,1,pop punk,crappy punk rock,,,
halfnoise,2,post-rock,indie,dream pop,,indie pop
halocene,2,rock,alternative rock,female vocalist,alternative,pop rock
halsey,1,pop,indie pop,indie,,female vocalist
hammerfall,3,Power metal,heavy metal,metal,swedish,
hands off gretel,2,Grunge,punk,rock,alternative rock,riot grrrl
hatebreed,2,hardcore,metalcore,,metal,moshcore
have no heroes,1,punk rock,skate punk,melodic punk,latvia,skatepunk
hawthorne heights,1,emo,screamo,rock,alternative,
